brand,model,color,registration_date,year,price,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
volkswagen,Volkswagen up!,blue,07/2020,2020,17450,61.0,83,Automatic,Electric,230 km (Ort),240.0,16100.0,e-up
volkswagen,Volkswagen Golf,silver,12/2020,2020,26990,150.0,204,Automatic,Hybrid,70 km (Ort),63.0,46825.0,1.4 eHybrid OPF DSG Style
volkswagen,Volkswagen Golf,blue,01/2021,2021,63800,180.0,245,Automatic,Hybrid,59 km (Ort),52.0,21204.0,1.4 eHybrid OPF DSG GTE 180KW NAVI+LED+CARPLAY
volkswagen,Volkswagen Golf,blue,02/2021,2021,27970,150.0,204,Automatic,Hybrid,70 km (Ort),63.0,18000.0,1.4 eHybrid OPF DSG Style
volkswagen,Volkswagen e-up!,blue,02/2021,2021,18950,61.0,83,Automatic,Electric,350 km (Ort),256.0,25500.0,"Style 32,3 kWh (nahezu Vollausstattung)"
volkswagen,Volkswagen up!,yellow,06/2021,2021,21000,61.0,83,Automatic,Electric,315 km (Ort),258.0,22000.0,e-up United
volkswagen,Volkswagen Golf,grey,01/2021,2021,26970,180.0,245,Automatic,Hybrid,59 km (Ort),52.0,19000.0,1.4 eHybrid Elektro-Benzin PlugIn DSG GTE 180KW
volkswagen,Volkswagen Golf,grey,02/2021,2021,27970,180.0,245,Automatic,Hybrid,59 km (Ort),52.0,32650.0,1.4 GTE eHybrid OPF DSG
volkswagen,Volkswagen e-Golf,silver,06/2021,2021,24980,100.0,136,Automatic,Electric,231 km (Ort),215.0,12181.0,e-Golf
volkswagen,Volkswagen ID.5,red,07/2022,2022,45000,150.0,204,Automatic,Electric,350 km (Ort),405.0,7500.0,"GTX 4Motion - Navi, Panoramadach, AHK, ..."
volkswagen,Volkswagen ID.4,red,10/2022,2022,42500,150.0,204,Automatic,Electric,701 km (Ort),535.0,9700.0,"Pro Perf . NAVI, AHK, ACC, LED, WP, Komf. +"
volkswagen,Volkswagen ID.3,silver,11/2022,2022,37400,107.0,145,Automatic,Electric,320 km (Ort),340.0,7000.0,ID.3 Pro
volkswagen,Volkswagen ID.4,blue,05/2023,2023,53500,150.0,204,Automatic,Electric,607 km (Ort),470.0,100.0,Pro Performance mit Infotainment-Paket
volkswagen,Volkswagen ID.3,grey,03/2023,2023,35699,150.0,204,Automatic,Electric,568 km (Ort),399.0,10.0,Pro Performance   **SOFORT VERFÜGBAR**
volvo,Volvo XC60,green,11/2018,2018,52900,288.0,392,Automatic,Hybrid,42 km (Ort),33.0,24222.0,T8 Twin Engine AWD Geartronic Momentum
volvo,Volvo XC60,black,11/2019,2019,44890,288.0,392,Automatic,Hybrid,49 km (Ort),49.0,67742.0,T8 R Design Plug-In Hybrid AWD
volvo,Volvo XC60,white,12/2019,2019,47750,288.0,392,Automatic,Hybrid,48 km (Ort),49.0,81100.0,T8 Twin Engine AWD Geartronic R-Design *AHK*
volvo,Volvo V60,blue,02/2020,2020,42422,288.0,392,Automatic,Hybrid,57 km (Ort),55.0,24697.0,T8 INSCRIPTION PIH AWD 8 PAKETE SELEKT
volvo,Volvo XC60,grey,04/2020,2020,46750,288.0,392,Automatic,Hybrid,46 km (Ort),42.0,71036.0,T8 Twin Engine AWD Geartronic RDesign
volvo,Volvo V60,white,09/2020,2020,42530,251.0,341,Automatic,Hybrid,57 km (Ort),54.0,36990.0,T6 Recharge Geartronic AWD *AHK * IntelliSafe PRO*
volvo,Volvo XC40,white,06/2020,2020,39830,192.0,261,Automatic,Hybrid,51 km (Ort),41.0,31650.0,T5 Recharge DKG R-Design *ACC * 360°-Kam.*
volvo,Volvo C40,blue,11/2021,2021,60900,300.0,408,Automatic,Electric,574 km (Ort),412.0,14450.0,Recharge Twin Motor Ultimate
volvo,Volvo XC40,grey,12/2021,2021,63960,300.0,408,Automatic,Electric,527 km (Ort),410.0,15800.0,Recharge Twin Motor Ultimate *AHK * Standheizung*
volvo,Volvo XC40,red,04/2021,2021,38830,192.0,261,Automatic,Hybrid,51 km (Ort),41.0,43550.0,T5 Recharge DKG R-Design *AHK * 360°-Kamera*
volvo,Volvo XC40,black,02/2021,2021,59900,300.0,408,Automatic,Electric,519 km (Ort),400.0,12500.0,P8 AWD Recharge RDesign
volvo,Volvo XC60,white,10/2021,2021,59990,251.0,341,Automatic,Hybrid,50 km (Ort),46.0,23300.0,T6 AWD Recharge Geartronic RDesign
volvo,Volvo XC40,white,11/2021,2021,45780,192.0,261,Automatic,Hybrid,51 km (Ort),41.0,18806.0,T5 Recharge DKG RDesign
volvo,Volvo C40,blue,09/2022,2022,51990,300.0,408,Automatic,Electric,559 km (Ort),424.0,3500.0,Recharge Twin Motor Ultimate
volvo,Volvo C40,blue,02/2022,2022,61650,300.0,408,Automatic,Electric,541 km (Ort),415.0,6500.0,Recharge Twin Motor Ultimate
volvo,Volvo C40,grey,09/2022,2022,52480,300.0,408,Automatic,Electric,559 km (Ort),424.0,9580.0,Recharge Twin Motor Ultimate
volvo,Volvo C40,grey,02/2022,2022,49980,170.0,231,Automatic,Electric,571 km (Ort),400.0,4900.0,Recharge Single Motor Ultimate
volvo,Volvo XC40,red,12/2022,2022,46990,192.0,261,Automatic,Hybrid,46 km (Ort),42.0,500.0,T5 Recharge DKG Plus Dark
volvo,Volvo XC60,white,10/2022,2022,64990,257.0,349,Automatic,Hybrid,92 km (Ort),75.0,19000.0,T6 Recharge AWD Plus Dark +el.AHK+PANO+  SHD/LED
volvo,Volvo XC60,black,03/2023,2023,74970,335.0,455,Automatic,Hybrid,93 km (Ort),77.0,8000.0,Recharge T8 Plus Bright  Standheizung/LED
